,name,Background,Body,Eyes,Hieroglyphs,Mouth,Accessories,Expression,Coins,Artifacts,Keyword,alpha
988,Chia Friends #988,Mint & Gradient,Parakeet (Yellow),Rainbow,,Beak (Small),Flower (Yellow),,,,,139
1001,Chia Friends #1001,Mint & Gradient,Starling,Vipers,,Beak (Long),,,,Emerald,,139
1008,Chia Friends #1008,Mint,Parakeet (Yellow),Vipers,,Beak (Small),,,,,,79
1056,Chia Friends #1056,Mint & Glimmer,K32 (Steel),Yellow,3.0,Intercom (Steel),,,,,,83
1066,Chia Friends #1066,Mint,Cactus (Red),Shades,,Ooo (Purple),,Wide Eyes,,,,79
1073,Chia Friends #1073,Mint,Marmot (Brown),Laser Visor,,Snout (Hungry),,,,Halo,,79
1114,Chia Friends #1114,Mint,Marmot (Red),Enlightened,,Snout (Drool),,,,Fireball (Green),,79
1123,Chia Friends #1123,Mint,Seal,Shades,,Snout (Sullen),,,,Fireball (Yellow),,79
1136,Chia Friends #1136,Mint,Starling,Rainbow,,Beak (Long),,,,,,79
1214,Chia Friends #1214,Mint,Cactus (Green),Green,,Carne (Green),,Angry (Green),,,,79
1270,Chia Friends #1270,Mint,Cactus (Red),3D Glasses,,Happy (Purple),,Wide Eyes,,,,79
1291,Chia Friends #1291,Mint & Gradient,Broccoli (Green),Green,,Frown (Green),,,,,,139
1302,Chia Friends #1302,Mint & Gradient,Marmot (Red),Red,,Snout (Eating),,Squint (Brown),,,,139
1347,Chia Friends #1347,Mint,Starling,Cyborg,,Beak (Long),Mohawk (Blue),,,,,79
1350,Chia Friends #1350,Mint,Starling,Cyborg,,Beak (Long),,,,,,79
1357,Chia Friends #1357,Mint,Parakeet (Green),Purple,,Beak (Small),,,,,,79
1439,Chia Friends #1439,Mint,K32 (Steel),Blue Screen,2.0,Happy (Steel),,,,Ruby,,81
1440,Chia Friends #1440,Mint & Gradient,Cauliflower,Vipers,,Smile (Tan),Mohawk (Blue),,,,,139
1525,Chia Friends #1525,Mint & Shimmer,Parakeet (Green),Vipers,,Beak (Small),,,Hourglass,,,79
1527,Chia Friends #1527,Mint,Marmot (Brown),3D Glasses,,Snout (Sullen),,,,,,79
1536,Chia Friends #1536,Mint & Gradient,Cucumber,Shades,,Carne (Green),,Wide Eyes,,,,139
1552,Chia Friends #1552,Mint,Marmot (Brown),Vipers,,Snout (Small),,Wide Eyes,,,,79
1563,Chia Friends #1563,Mint & Gradient,Marmot (Brown),Rainbow,,Snout (Tooth),,Wide Eyes,,,,139
1621,Chia Friends #1621,Mint,Starling,Cyborg,,Beak (Long),Mohawk (Purple),,,,,79
1684,Chia Friends #1684,Mint,Parakeet (Yellow),Cyborg,,Beak (Small),Bubblegum,,,,,79
1695,Chia Friends #1695,Mint,Marmot (Brown),Cyborg,,Snout (Drool),,,,,,79
1727,Chia Friends #1727,Mint,Starling,3D Glasses,,Beak (Long),Mohawk (Blue),,,,,79
1789,Chia Friends #1789,Mint & Sparkle,K32 (Steel),Yellow,3.0,Sad (Steel),,,,,,83
1802,Chia Friends #1802,Mint & Sparkle,Cactus (Purple),Rainbow,,Carne (Purple),,,,,,79
1818,Chia Friends #1818,Mint,K32 (Steel),Closed,4.0,Intercom (Steel),,,,,,81
1864,Chia Friends #1864,Mint & Glimmer,Starling,Cyborg,,Beak (Long),,,,,,79
1935,Chia Friends #1935,Mint & Gradient,Broccoli (Purple),Purple,,Carne (Purple),,Wide Eyes,Asterisk,,,139
1939,Chia Friends #1939,Mint & Watercolor,Cactus (Green),Blue,,Carne (Green),,Squint (Green),Leaf,,,103
1958,Chia Friends #1958,Mint,Parakeet (Yellow),3D Glasses,,Beak (Small),,,,,,79
1974,Chia Friends #1974,Mint & Gradient,K32 (Steel),Green,2.0,Smile (Steel),,,,,,141
1990,Chia Friends #1990,Mint,Cactus (Purple),Enlightened,,Happy (Purple),,Wide Eyes,,,,79
2031,Chia Friends #2031,Mint & Sparkle,Starling,Enlightened,,Beak (Long),,,,Fireball (Green),,79
2083,Chia Friends #2083,Mint,Marmot (Brown),Purple,,Snout (Drool),,,,,,79
2135,Chia Friends #2135,Mint & Watercolor,Parakeet (Green),Cyborg,,Beak (Small),,,,Yoyo,,103
2183,Chia Friends #2183,Mint,Cucumber,Green,,Carne (Green),,,,,,79
2226,Chia Friends #2226,Mint,Marmot (Red),3D Glasses,,Snout (Eating),,,,,,79
2247,Chia Friends #2247,Mint & Glimmer,K32 (Steel),Closed,3.0,Jagged (Steel),,,Smile,,,83
2248,Chia Friends #2248,Mint,Marmot (Brown),Blue,,Snout (Tooth),,Wide Eyes,,,,79
2279,Chia Friends #2279,Mint,Cactus (Green),Ded,,Carne (Green),Flower (Yellow),,,,,79
2280,Chia Friends #2280,Mint & Gradient,Starling,Cyborg,,Beak (Long),,,Diamond,,,139
2284,Chia Friends #2284,Mint,K32 (Steel),Blue,2.0,Happy (Steel),,,,,,81
2309,Chia Friends #2309,Mint & Glimmer,Cactus (Ded),Zombie,,Yum,,,,,,79
2412,Chia Friends #2412,Mint & Watercolor,Starling,Rainbow,,Beak (Long),,,,,,103
2525,Chia Friends #2525,Mint & Sparkle,Cactus (Albino),Shades,,Carne (Tan),,,Leaf,,,79
2562,Chia Friends #2562,Mint,K32 (Steel),Closed,1.0,Smile (Steel),,,,,,81
2567,Chia Friends #2567,Mint & Watercolor,Marmot (Trancended),Orange,,Snout (Tooth),,,,,,103
2602,Chia Friends #2602,Mint,K32 (Steel),Blue,2.0,Smile (Steel),,,Triangle,,,81
2611,Chia Friends #2611,Mint,Parakeet (Yellow),Cyborg,,Beak (Small),,,,,,79
2674,Chia Friends #2674,Mint & Sparkle,Cactus (Red),3D Glasses,,Frown (Tan),,Wide Eyes,,Emerald,,79
2703,Chia Friends #2703,Mint & Watercolor,Parakeet (Yellow),Blue,,Beak (Small),Verdant,,,,,103
2705,Chia Friends #2705,Mint & Watercolor,Starling,Cyborg,,Beak (Long),,,,,,103
2766,Chia Friends #2766,Mint & Gradient,Cactus (Red),Laser Visor,,Frown (Tan),,Wide Eyes,,,,139
2773,Chia Friends #2773,Mint,Marmot (Purple),3D Glasses,,Snout (Tooth),,Wide Eyes,,,,79
2791,Chia Friends #2791,Mint,Broccoli (Green),Cyborg,,Ooo (Green),,Wide Eyes,,,,79
2808,Chia Friends #2808,Mint & Gradient,Marmot (Blue),Cyborg,,Snout (Eating),,,,,,139
2816,Chia Friends #2816,Mint,Cactus (Red),Rainbow,,Happy (Tan),,,,,,79
2833,Chia Friends #2833,Mint,Marmot (Gray),Cyborg,,Snout (Tooth),,,,,,79
2851,Chia Friends #2851,Mint,Parakeet (Green),Zombie,,Beak (Small),,,,Emerald,,79
2862,Chia Friends #2862,Mint & Watercolor,Cactus (Ded),Zombie,,Yum,Flower (Yellow),Wide Eyes,,,,103
2921,Chia Friends #2921,Mint,K32 (Steel),Blue,1.0,Happy (Steel),,,,,,81
2974,Chia Friends #2974,Mint,Parakeet (Yellow),Cyborg,,Beak (Small),,,Flame,,,79
2992,Chia Friends #2992,Mint & Gradient,Marmot (Brown),Cyborg,,Snout (Small),Flower (Yellow),,,Emerald,,139
2994,Chia Friends #2994,Mint & Gradient,K32 (Steel),Yellow,3.0,Jagged (Steel),,,Square,,,142
3000,Chia Friends #3000,Mint & Sparkle,Broccoli (Purple),Blue,,Smile (Purple),,,Circle,,,79
3010,Chia Friends #3010,Mint,Cactus (Albino),Orange,,Ooo (Tan),,,,Emerald,,79
3091,Chia Friends #3091,Mint,K32 (Steel),Closed,4.0,Happy (Steel),,,,Fireball (Yellow),,81
3109,Chia Friends #3109,Mint & Glimmer,K32 (Steel),Red,1.0,Jagged (Steel),,,,,,81
3110,Chia Friends #3110,Mint,Starling,Shades,,Beak (Long),,,,,,79
